ID,Target_Value,Set
Candida_sp._NRRL_Y-27127,1,Train
Candida_sp._NRRL_YB-4088,0,Train
Candida_spandovensis,0,Train
Candida_spencermartinsiae,1,Train
Candida_sphagnicola,0,Train
Candida_subhashii,1,Train
Candida_succicola,1,Train
Candida_suzukii,1,Train
Candida_tallmaniae,1,Train
Candida_tammaniensis,1,Train
Candida_taylorii,1,Train
Candida_tetrigidarum,0,Train
Candida_thailandica,1,Train
Candida_tibetensis,0,Train
Candida_tolerans,0,Train
Candida_tsuchiyae,0,Train
Candida_ubatubensis,1,Train
Candida_vartiovaarae,0,Train
Candida_vitiphila,0,Train
Candida_wancherniae,0,Train
Candida_xiaguanensis,0,Train
Citeromyces_nyonsensis,0,Train
Clavispora_fructus_NRRL_Y-17088,0,Train
Clavispora_lusitaniae_NRRL_Y-11827,1,Train
Crinitomyces_ghanaensis,0,Train
Cyberlindnera_amylophila,1,Train
Cyberlindnera_euphorbiae,1,Train
Cyberlindnera_euphorbiiphila,1,Train
Cyberlindnera_lachancei,1,Train
Cyberlindnera_misumaiensis,1,Train
Cyberlindnera_mycetangii,1,Train
Cyberlindnera_rhodanensis,1,Train
Cyberlindnera_samutprakarnensis,0,Train
Cyberlindnera_saturnus,0,Train
Cyberlindnera_sp._NRRL_Y-27267,1,Train
Cyberlindnera_subsufficiens,1,Train
Cyberlindnera_veronae,1,Train
Deakozyma_indianensis,1,Train
Debaryomyces_hansenii,1,Train
Debaryomyces_nepalensis,1,Train
Diddensiella_caesifluorescens,1,Train
Diddensiella_transvaalensis,0,Train
Dipodascopsis_tothii,0,Train
Dipodascopsis_uninucleata_var._uninucleata,0,Train
Dipodascus_albidus,1,Train
Dipodascus_armillariae,1,Train
Dipodascus_australiensis,1,Train
Dipodascus_carabidarus,0,Train
Dipodascus_cucujoidarus,0,Train
Dipodascus_geniculatus,0,Train
Dipodascus_ghanensis,1,Train
Dipodascus_restrictus,1,Train
Dipodascus_siamensis,1,Train
Diutina_catenulata,0,Train
Diutina_mesorugosa,1,Train
Diutina_neorugosa,0,Train
Diutina_scorzettiae,1,Train
Diutina_siamensis,0,Train
Eremothecium_coryli,0,Train
Eremothecium_gossypii,0,Train
Eremothecium_sinecaudum,0,Train
Galactomyces_geotrichum,1,Train
Geotrichum_candidum_CBS_178.71,0,Train
Geotrichum_candidum_CLIB_918,0,Train
Geotrichum_citri-aurantii,1,Train
Geotrichum_europaeum,1,Train
Geotrichum_phurueaensis,1,Train
Grigorovia_transvaalensis,0,Train
Grigorovia_yakushimaensis,0,Train
Groenewaldozyma_sp._yHMH443,0,Train
Hagleromyces_aurorensis,0,Train
Hanseniaspora_gamundiae,0,Train
Hanseniaspora_guilliermondii,0,Train
Hanseniaspora_hatyaiensis,0,Train
Hanseniaspora_jakobsenii,0,Train
Hanseniaspora_lachancei,0,Train
Hanseniaspora_lindneri,0,Train
Hanseniaspora_mollemarum,0,Train
Hanseniaspora_osmophila,0,Train
Hanseniaspora_thailandica,0,Train
Hanseniaspora_valbyensis,0,Train
Hemisphaericaspora_nanyangensis,1,Train
Hyphopichia_burtonii,0,Train
Hyphopichia_gotoi,1,Train
Hyphopichia_homilentoma,1,Train
Hyphopichia_khmerensis,0,Train
Hyphopichia_pseudorhagii,1,Train
Kazachstania_barnettii,0,Train
Kazachstania_bovina,0,Train
Kazachstania_bromeliacearum,0,Train
Kazachstania_bulderi,0,Train
Kazachstania_hellenica,0,Train
Kazachstania_ichnusensis,0,Train
Kazachstania_kunashirensis,0,Train
Kazachstania_martiniae,0,Train
Kazachstania_naganishii,0,Train
Kazachstania_piceae,0,Train
Kazachstania_pintolopesii,0,Train
Kazachstania_pseudohumilis,0,Train
Kazachstania_psychrophila,0,Train
Kazachstania_rosinii,0,Train
Kazachstania_servazzii,0,Train
Kazachstania_solicola,0,Train
Kazachstania_taianensis,0,Train
Kazachstania_telluris,0,Train
Kazachstania_viticola,0,Train
Kazachstania_yasuniensis,0,Train
Kluyveromyces_aestuarii_ATCC_18862,0,Train
Kluyveromyces_lactis_CBS_2359,0,Train
Kluyveromyces_marxianus_NRRL_Y-8281,0,Train
Kluyveromyces_siamensis,0,Train
Kluyveromyces_starmeri,0,Train
Kockiozyma_suomiensis,1,Train
Kodamaea_alishanica,0,Train
Kodamaea_arcana,0,Train
Kodamaea_fungicola,0,Train
Kodamaea_hsintzibuensis,1,Train
Kodamaea_jinghongensis,0,Train
Kodamaea_kakaduensis,0,Train
Kodamaea_kaohsiungensis,0,Train
Kodamaea_lidongshanica,0,Train
Kodamaea_nitidulidarum,0,Train
Kodamaea_restingae,1,Train
Kodamaea_sagamina,0,Train
Kodamaea_suecica,0,Train
Kuraishia_borneana,1,Train
Kuraishia_floccosa,0,Train
Kuraishia_piskuri,1,Train
Kurtzmaniella_fragi,0,Train
Kurtzmaniella_natalensis,0,Train
Lachancea_cidri_NRRL_Y-12634,0,Train
Lachancea_kluyveri,0,Train
Lachancea_lanzarotensis,0,Train
Lachancea_nothofagi,0,Train
Lachancea_thermotolerans,0,Train
Lachancea_waltii,0,Train
Limtongia_smithiae,0,Train
Limtongozyma_cylindracea,0,Train
Lipomyces_japonicus,1,Train
Lipomyces_kockii,0,Train
Lipomyces_lipofer,0,Train
Lipomyces_orientalis,0,Train
Lipomyces_sp._NRRL_Y-27488,0,Train
Lipomyces_sp._NRRL_Y-7042,0,Train
Lipomyces_starkeyi,1,Train
Lipomyces_tetrasporus,0,Train
Magnusiomyces_capitatus,0,Train
Martiniozyma_abietophila,0,Train
Metschnikowia_agaves,0,Train
Metschnikowia_baotianmanensis,1,Train
Metschnikowia_bicuspidata_var._bicuspidata,0,Train
Metschnikowia_bicuspidata_var._chathamia,0,Train
Metschnikowia_borealis,0,Train
Metschnikowia_caudata,0,Train
Metschnikowia_cerradonensis,1,Train
Metschnikowia_chrysomelidarum,0,Train
Metschnikowia_chrysoperlae,0,Train
Metschnikowia_colocasiae,0,Train
Metschnikowia_continentalis,0,Train
Metschnikowia_corniflorae,0,Train
Metschnikowia_fructicola,1,Train
Metschnikowia_hamakuensis,1,Train
Metschnikowia_henanensis,0,Train
Metschnikowia_hibisci,1,Train
Metschnikowia_kamakouana,0,Train
Metschnikowia_kipukae,0,Train
Metschnikowia_kofuensis,0,Train
Metschnikowia_laotica,0,Train
Metschnikowia_leonuri,1,Train
Metschnikowia_lopburiensis,1,Train
Metschnikowia_matae_var._maris_NRRL_Y-63737,1,Train
Metschnikowia_matae_var._matae_NRRL_Y-63736,1,Train
Metschnikowia_mauinuiana,0,Train
Metschnikowia_noctiluminum,0,Train
Metschnikowia_orientalis,1,Train
Metschnikowia_peoriensis,0,Train
Metschnikowia_proteae,0,Train
Metschnikowia_pulcherrima,0,Train
Metschnikowia_reukaufii,0,Train
Metschnikowia_rubicola,1,Train
Metschnikowia_shanxiensis,1,Train
Metschnikowia_similis_NRRL_Y-27627,1,Train
Metschnikowia_sinensis,1,Train
Metschnikowia_sp._yHJM9,0,Train
Metschnikowia_sp._yHQL527,0,Train
Metschnikowia_torresii,0,Train
Metschnikowia_ziziphicola,1,Train
Metschnikowia_zobellii,0,Train
Meyerozyma_athensensis,0,Train
Meyerozyma_guilliermondii_NRRL_Y-324,0,Train
Middelhovenomyces_tepae,0,Train
Millerozyma_acaciae,1,Train
Millerozyma_miso,0,Train
Myxozyma_kluyveri,1,Train
Myxozyma_mucilagina,0,Train
Myxozyma_neglecta,0,Train
Myxozyma_nipponensis,1,Train
Myxozyma_sirexii,1,Train
Myxozyma_udenii,1,Train
Myxozyma_vanderwaltii,1,Train
Nadsonia_commutata,0,Train
Nakaseomyces_bacillisporus,0,Train
Nakaseomyces_bracarensis,0,Train
Nakaseomyces_delphensis,0,Train
Nakaseomyces_nivariensis,0,Train
Nakaseomyces_sp._yHDO568,0,Train
Nakaseomyces_uthaithaninus,0,Train
Nakazawaea_holstii,0,Train
Nakazawaea_molendinolei,0,Train
Nakazawaea_pomicola,0,Train
Nakazawaea_siamensis,1,Train
Nakazawaea_sp._yHDR128,0,Train
Nakazawaea_sp._yHKS545,0,Train
Ogataea_allantospora,0,Train
Ogataea_chonburiensis,1,Train
Ogataea_ganodermae,1,Train
Ogataea_glucozyma,0,Train
Ogataea_kodamae,0,Train
Ogataea_methylivora_NRRL_Y-17250,1,Train
Ogataea_methylovora_NRRL_Y-11996,1,Train
Ogataea_naganishii,1,Train
Ogataea_nakhonphanomensis,1,Train
Ogataea_parapolymorpha_DL-1,0,Train
Ogataea_parapolymorpha_NRRL_YB-1982,0,Train
Ogataea_pilisensis,0,Train
Ogataea_polymorpha_NRRL_Y-5445,0,Train
Ogataea_populi-albae,0,Train
Ogataea_ramenticola,1,Train
Ogataea_saltuana,0,Train
Ogataea_siamensis,0,Train
Ogataea_sp._yHMJ1,0,Train
Ogataea_zsoltii,1,Train
Peterozyma_xylosa,0,Train
Phaffomyces_thermotolerans,0,Train
Pichia_cactophila,0,Train
Pichia_exigua,0,Train
Pichia_fermentans,0,Train
Pichia_galeolata,0,Train
Pichia_heedii,1,Train
Pichia_insulana,0,Train
Pichia_norvegensis,0,Train
Pichia_pseudocactophila,0,Train
Pichia_scutulata,0,Train
Pichia_sp._NRRL_Y-12824,0,Train
Pichia_sp._NRRL_Y-12827,0,Train
Pichia_sp._NRRL_Y-12830,0,Train
Pichia_sp._NRRL_Y-27259,0,Train
Pichia_sp._NRRL_Y-27261,0,Train
Pichia_sp._NRRL_YB-4149,0,Train
Pichia_sporocuriosa,0,Train
Pichia_terricola,0,Train
Priceomyces_castillae,1,Train
Priceomyces_fermenticarens,0,Train
Priceomyces_haplophilus,1,Train
Priceomyces_medius,1,Train
Priceomyces_melissophilus,0,Train
Saccharomyces_arboricola,0,Train
Saccharomyces_jurei,0,Train
Saccharomyces_mikatae,0,Train
Saccharomycodes_ludwigii,0,Train
Saccharomycopsis_amapae,1,Train
Saccharomycopsis_capsularis,0,Train
Saccharomycopsis_crataegensis,0,Train
Saccharomycopsis_fibuligera,0,Train
Saccharomycopsis_guyanensis,0,Train
Saccharomycopsis_lassenensis,0,Train
Saccharomycopsis_malanga,0,Train
Saccharomycopsis_olivae,0,Train
Saccharomycopsis_oosterbeekiorum,0,Train
Saccharomycopsis_selenospora,1,Train
Saccharomycopsis_sp._yHQL182,0,Train
Saprochaete_ingens,0,Train
Saprochaete_suaveolens,0,Train
Saturnispora_dispora,0,Train
Saturnispora_gosingensis,0,Train
Saturnispora_sekii,0,Train
Saturnispora_zaruensis,0,Train
Scheffersomyces_cryptocercus,0,Train
Scheffersomyces_ergatensis,1,Train
Scheffersomyces_gosingicus,0,Train
Scheffersomyces_illinoinensis,1,Train
Scheffersomyces_insectosa,1,Train
Scheffersomyces_lignosus,1,Train
Scheffersomyces_parashehatae,1,Train
Scheffersomyces_quercinus,1,Train
Scheffersomyces_segobiensis,1,Train
Scheffersomyces_shehatae,1,Train
Scheffersomyces_stipitis_NRRL_Y-7124,0,Train
Scheffersomyces_titanus,1,Train
Schwanniomyces_occidentalis_var._occidentalis,1,Train
Schwanniomyces_polymorphus_var._africanus,1,Train
Schwanniomyces_pseudopolymorphus,1,Train
Schwanniomyces_vanrijiae_var._vanrijiae,1,Train
Schwanniomyces_yamadae,1,Train
Spathaspora_arborariae,0,Train
Spathaspora_jeffriesii,1,Train
Spathaspora_passalidarum,1,Train
Spathaspora_xylofermentans,0,Train
Spencermartinsiella_europaea,0,Train
Spencermartinsiella_ligniputridi,1,Train
Sporopachydermia_cereana,1,Train
Sporopachydermia_lactativora,0,Train
Sporopachydermia_quercuum,1,Train
Starmera_amethionina,0,Train
Starmera_caribaea,0,Train
Starmera_pachycereana,0,Train
Starmera_sp._NRRL_Y-17713,0,Train
Starmera_stellimalicola,0,Train
Starmerella_apicola_NRRL_Y-2481,0,Train
Starmerella_apicola_NRRL_Y-50540,0,Train
Starmerella_apis,0,Train
Starmerella_bombi,0,Train
Starmerella_davenportii,0,Train
Starmerella_etchellsii,0,Train
Starmerella_floris,0,Train
Starmerella_geochares,0,Train
Starmerella_gropengiesseri,0,Train
Starmerella_khaoyaiensis,0,Train
Starmerella_kuoi,0,Train
Starmerella_scarabaei,0,Train
Starmerella_sorbosivorans,0,Train
Starmerella_stellata,0,Train
Starmerella_tilneyi,0,Train
Starmerella_vaccinii,0,Train
Sugiyamaella_floridensis,1,Train
Sugiyamaella_grinbergsii,1,Train
Sugiyamaella_lignohabitans,1,Train
Sugiyamaella_paludigena,1,Train
Sugiyamaella_pinicola,1,Train
Sugiyamaella_smithiae,1,Train
Sugiyamaella_valdiviana,1,Train
Suhomyces_ambrosiae,1,Train
Suhomyces_atakaporum,1,Train
Suhomyces_bokatorum,1,Train
Suhomyces_choctaworum,0,Train
Suhomyces_emberorum,1,Train
Suhomyces_faveliae,0,Train
Suhomyces_maxii,0,Train
Suhomyces_panamericanus,1,Train
Suhomyces_prunicola,0,Train
Suhomyces_pyralidae,0,Train
Suhomyces_sp._yHKS641,0,Train
Suhomyces_terraborum,1,Train
Suhomyces_vadensis,1,Train
Suhomyces_wounanorum,1,Train
Suhomyces_yuchorum,1,Train
Tetrapisispora_arboricola,0,Train
Tetrapisispora_blattae,0,Train
Tetrapisispora_fleetii,0,Train
Tetrapisispora_iriomotensis,0,Train
Tetrapisispora_namnaoensis,0,Train
Tetrapisispora_nanseiensis,0,Train
Tetrapisispora_pingtungensis,0,Train
Tetrapisispora_taiwanensis,0,Train
Teunomyces_aglyptinius,0,Train
Teunomyces_barrocoloradensis,0,Train
Teunomyces_cretensis,1,Train
Teunomyces_gatunensis,0,Train
Teunomyces_kruisii,1,Train
Teunomyces_pallodes,1,Train
Teunomyces_stri,0,Train
Teunomyces_tritomae,1,Train
Tortispora_sangerardonensis,0,Train
Torulaspora_franciscae,0,Train
Torulaspora_globosa,0,Train
Torulaspora_maleeae,0,Train
Torulaspora_sp._yHMJ407,0,Train
Trichomonascus_apis,0,Train
Trichomonascus_ciferrii,0,Train
Trichomonascus_petasosporus,1,Train
Trichomonascus_vanleenenianus,0,Train
Trigonopsis_californica,0,Train
Trigonopsis_variabilis,0,Train
Trigonopsis_vinaria,0,Train
Vanderwaltozyma_polyspora,0,Train
Vanderwaltozyma_tropicalis,0,Train
Wickerhamiella_alocasiicola,0,Train
Wickerhamiella_australiensis,0,Train
Wickerhamiella_azymoides,1,Train
Wickerhamiella_brachini,0,Train
Wickerhamiella_cacticola,0,Train
Wickerhamiella_domercqiae,0,Train
Wickerhamiella_hasegawae,0,Train
Wickerhamiella_kurtzmanii,0,Train
Wickerhamiella_lipophila,0,Train
Wickerhamiella_occidentalis,0,Train
Wickerhamiella_pararugosa,0,Train
Wickerhamiella_qilinensis,0,Train
Wickerhamiella_sergipiensis,0,Train
Wickerhamiella_shivajii,0,Train
Wickerhamiella_siamensis,0,Train
Wickerhamiella_sorbophila,0,Train
Wickerhamiella_vanderwaltii,1,Train
Wickerhamiella_versatilis_JCM_5958,0,Train
Wickerhamiella_versatilis_NRRL_Y-6652,0,Train
Wickerhamomyces_alni,1,Train
Wickerhamomyces_anomalus,0,Train
Wickerhamomyces_canadensis,1,Train
Wickerhamomyces_chambardii,0,Train
Wickerhamomyces_ciferrii,0,Train
Wickerhamomyces_kurtzmanii,0,Train
Wickerhamomyces_pijperi,1,Train
Wickerhamomyces_rabaulensis,1,Train
Wickerhamomyces_silvicola,1,Train
Wickerhamomyces_sp._NRRL_Y-7574,1,Train
Wickerhamomyces_sp._NRRL_YB-3031,1,Train
Wickerhamomyces_sp._UFMG-CM-Y6624,1,Train
Wickerhamomyces_sp._yHMH617,0,Train
Wickerhamomyces_sp._yHQL14,0,Train
Wickerhamomyces_strasburgensis,1,Train
Wickerhamomyces_tratensis,0,Train
Wickerhamomyces_xylosica,0,Train
Yamadazyma_dushanensis,1,Train
Yamadazyma_endophytica,1,Train
Yamadazyma_insecticola,0,Train
Yamadazyma_nakazawae,1,Train
Yamadazyma_phyllophila,1,Train
Yamadazyma_scolyti,1,Train
Yamadazyma_sp._yHKS699,0,Train
Yamadazyma_sp._yHMH393,0,Train
Yamadazyma_sp._yHMH685,0,Train
Yamadazyma_takamatsuzukensis,0,Train
Yamadazyma_ubonensis,1,Train
Yarrowia_keelungensis,0,Train
Yarrowia_lipolytica_CLIB_122,0,Train
Yarrowia_osloensis,0,Train
Yarrowia_phangngaensis,0,Train
Yarrowia_yakushimensis,0,Train
Yueomyces_sinensis,0,Train
Zygoascus_biomembranicola,1,Train
Zygoascus_bituminiphia,0,Train
Zygoascus_hellenicus,0,Train
Zygoascus_meyerae,0,Train
Zygoascus_ofunaensis,1,Train
Zygoascus_polysorbophila,1,Train
Zygoascus_tannicola,1,Train
Zygosaccharomyces_bailii,0,Train
Zygosaccharomyces_bisporus,0,Train
Zygosaccharomyces_lentus,1,Train
Zygosaccharomyces_mellis,0,Train
Zygosaccharomyces_parabailii,0,Train
Zygosaccharomyces_pseudobailii,0,Train
Zygotorulaspora_chibaensis,0,Train
Zygotorulaspora_florentina,0,Train
Zygotorulaspora_mrakii,0,Train
Zygotorulaspora_sp._yHDO592,1,Train
Aciculoconidium_aculeatum,0,Test
Alloascoidea_hylecoeti_JCM_7604,0,Test
Alloascoidea_hylecoeti_NRRL_Y-17703,0,Test
Ambrosiozyma_ambrosiae,0,Test
Ambrosiozyma_angophorae,0,Test
Ambrosiozyma_cicatricosa,0,Test
Ambrosiozyma_kashinagicola,0,Test
Ambrosiozyma_llanquihuensis,0,Test
Ambrosiozyma_monospora,0,Test
Ascoidea_tarda,0,Test
Babjeviella_inositovora,1,Test
Barnettozyma_hawaiiensis,1,Test
Barnettozyma_populi,1,Test
Barnettozyma_pratensis,1,Test
Barnettozyma_salicaria,1,Test
Barnettozyma_siamensis,0,Test
Barnettozyma_sucrosica,1,Test
Blastobotrys_arbuscula,0,Test
Blastobotrys_chiropterorum,0,Test
Blastobotrys_elegans,0,Test
Blastobotrys_malaysiensis,1,Test
Blastobotrys_muscicola,0,Test
Blastobotrys_parvus,0,Test
Blastobotrys_proliferans,0,Test
Blastobotrys_raffinosifermentans,1,Test
Blastobotrys_robertii,0,Test
Blastobotrys_terrestris,0,Test
Botryozyma_mucatilis,0,Test
Botryozyma_nematodophila,0,Test
Brettanomyces_anomalus_YV396,0,Test
Brettanomyces_bruxellensis,0,Test
Brettanomyces_naardenensis,1,Test
Brettanomyces_nanus,0,Test
Candida_aaseri,1,Test
Candida_aechmeae,1,Test
Candida_alai,1,Test
Candida_albicans_NRRL_Y-12983,1,Test
Candida_albicans_SC5314,0,Test
Candida_arabinofermentans,1,Test
Candida_argentea,0,Test
Candida_ascalaphidarum,0,Test
Candida_asparagi,1,Test
Candida_atmosphaerica,1,Test
Candida_auris_CBS_10913,0,Test
Candida_auris_Ci_6684,0,Test
Candida_aurita,0,Test
Candida_bambusicola,1,Test
Candida_bentonensis,1,Test
Candida_berthetii,0,Test
Candida_blankii,1,Test
Candida_blattariae,1,Test
Candida_boidinii,1,Test
Candida_boleticola,0,Test
Candida_buinensis,1,Test
Candida_cabralensis,0,Test
Candida_caryicola,0,Test
Candida_chanthaburiensis,0,Test
Candida_chauliodis,1,Test
Candida_citri,0,Test
Candida_coleopterorum,0,Test
Candida_corydali,0,Test
Candida_diddensiae,0,Test
Candida_diospyri,1,Test
Candida_easanensis,1,Test
Candida_entomophila,1,Test
Candida_ficus,0,Test
Candida_fluviatilis,1,Test
Candida_friedrichii,1,Test
Candida_frijolesensis,1,Test
Candida_galis,0,Test
Candida_germanica,1,Test
Candida_gigantensis,1,Test
Candida_glaebosa,1,Test
Candida_glucosophila,0,Test
Candida_haemuli,0,Test
Candida_hainanensis,0,Test
Candida_hungchunana,1,Test
Candida_ipomoeae,0,Test
Candida_jaroonii,1,Test
Candida_jiufengensis,0,Test
Candida_koratica,0,Test
Candida_krabiensis,0,Test
Candida_kutaoensis,0,Test
Candida_loeiensis,0,Test
Candida_lundiana,1,Test
Candida_lyxosophila,1,Test
Candida_maltosa,1,Test
Candida_manassasensis,0,Test
Candida_margitis,1,Test
Candida_melibiosica,0,Test
Candida_membranifaciens,0,Test
Candida_methanosorbosa,1,Test
Candida_michaelii,1,Test
Candida_mogii,0,Test
Candida_nitratophila,1,Test
Candida_nongkhaiensis,1,Test
Candida_oceani,1,Test
Candida_orba,0,Test
Candida_oregonensis,1,Test
Candida_oxycetoniae,0,Test
Candida_parachauliodis,0,Test
Candida_parapsilosis_CDC_317,0,Test
Candida_parapsilosis_NRRL_Y-12969,1,Test
Candida_patagonica,0,Test
Candida_peoriensis,1,Test
Candida_phayaonensis,0,Test
Candida_piceae,1,Test
Candida_pini,0,Test
Candida_pseudoaaseri,1,Test
Candida_pseudocylindracea,0,Test
Candida_pseudoflosculorum,0,Test
Candida_pseudojiufengensis,0,Test
Candida_pseudolambica,1,Test
Candida_qinlingensis,1,Test
Candida_rishiriensis,0,Test
Candida_ruelliae,0,Test
Candida_rugopelliculosa,0,Test
Candida_saitoana,1,Test
Candida_sakaeoensis,0,Test
Candida_santamariae,0,Test
Candida_sanyaensis,1,Test
Candida_sanyiensis,1,Test
Candida_schatavii,0,Test
Candida_sequanensis,1,Test
Candida_sharkensis,0,Test
Candida_silvanorum,1,Test
Candida_silvatica,0,Test
Candida_smagusa,0,Test
Candida_sojae_NRRL_Y-17909,1,Test
Candida_sonorensis,1,Test
Candida_sophiae-reginae,0,Test
Candida_sorboxylosa,0,Test
Candida_sp._yHDO569,0,Test
Candida_sp._yHKB357,0,Test
Candida_stauntonica,1,Test
Candida_succiphila,1,Test
Candida_suratensis,1,Test
Candida_suthepensis,0,Test
Candida_takata,0,Test
Candida_tanticharoeniae,0,Test
Candida_taoyuanica,1,Test
Candida_thaimueangensis,0,Test
Candida_theae,0,Test
Candida_touchengensis,1,Test
Candida_tropicalis_MYA-3404,0,Test
Candida_tropicalis_NRRL_Y-12968,1,Test
Candida_trypodendri,0,Test
Candida_tunisiensis,0,Test
Candida_ulmi,1,Test
Candida_vaughaniae,1,Test
Candida_verbasci,0,Test
Candida_viswanathii,1,Test
Candida_vulturna,0,Test
Candida_xylanilytica,1,Test
Candida_xyloterini,0,Test
Candida_yuanshanica,1,Test
Candida_zeylanoides,0,Test
Cephaloascus_albidus,1,Test
Cephaloascus_fragrans,0,Test
Citeromyces_hawaiiensis,0,Test
Citeromyces_matritensis,0,Test
Clavispora_fructus_NRRL_Y-17072,0,Test
Clavispora_lusitaniae_ATCC_42720,0,Test
Clavispora_opuntiae,1,Test
Clavispora_reshetovae,1,Test
Cyberlindnera_americana,1,Test
Cyberlindnera_bimundalis,1,Test
Cyberlindnera_fabianii,1,Test
Cyberlindnera_galapagoensis,0,Test
Cyberlindnera_jadinii,1,Test
Cyberlindnera_japonica,1,Test
Cyberlindnera_maclurae,0,Test
Cyberlindnera_maritima,1,Test
Cyberlindnera_meyerae,1,Test
Cyberlindnera_mississippiensis,1,Test
Cyberlindnera_mrakii,1,Test
Cyberlindnera_nakhonratchasimensis,1,Test
Cyberlindnera_petersonii,1,Test
Cyberlindnera_sargentensis,1,Test
Cyberlindnera_sp._NRRL_Y-27103,1,Test
Cyberlindnera_sp._NRRL_Y-7615,1,Test
Cyberlindnera_suaveolens,1,Test
Cyberlindnera_xishuangbannaensis,0,Test
Cyberlindnera_xylosilytica,1,Test
Danielozyma_ontarioensis,0,Test
Debaryomyces_coudertii,0,Test
